timestamp,player,tournament,surface,betfair_odds,our_prob,implied_prob,edge,ev,base_units,odds_category,odds_cap,edge_override,final_units,stake_tier,is_value,notes
2026-01-20T14:27:52.641221,Alycia Parks,Ladies Australian Open 2026,Hard,9.4,21.8,10.6,11.2,104.9,2,longshot,1,False,1.0,confident,True,capped_from_2_to_1.0;longshot_warning
2026-01-20T14:27:52.664095,Alexander Shevchenko,Men's Australian Open 2026,Hard,5.1,25.9,19.6,6.3,32.1,1,longshot,1,False,1.0,standard,True,longshot_warning
2026-01-20T14:27:52.686063,Daniel Michalski,Phan Thiet Challenger 2026,Grass,3.25,47.9,30.8,17.1,55.7,3,medium,3,False,3.0,strong,True,
2026-01-20T14:27:52.707927,Marek Gengel,Phan Thiet Challenger 2026,Grass,1.46,77.3,68.5,8.8,12.9,1,short,3,False,1.0,standard,True,
2026-01-20T14:27:52.812992,Ajla Tomljanovic,Ladies Australian Open 2026,Hard,2.26,56.3,44.2,12.1,27.2,2,medium,3,False,2.0,confident,True,
2026-01-20T14:27:52.836416,Alexandre Muller,Men's Australian Open 2026,Hard,12.5,17.4,8.0,9.4,117.5,1,longshot,1,False,1.0,standard,True,longshot_warning
2026-01-20T14:27:52.857480,Maria Sakkari,Ladies Australian Open 2026,Hard,5.7,19.7,17.5,2.2,12.3,0,longshot,1,False,0.0,no_bet,True,longshot_warning
2026-01-20T14:27:52.878424,Alex De Minaur,Men's Australian Open 2026,Hard,1.19,88.0,84.0,4.0,4.7,0,short,3,False,0.0,no_bet,False,
2026-01-20T14:27:52.920394,Priscilla Hon,Ladies Australian Open 2026,Hard,6.2,23.0,16.1,6.9,42.6,1,longshot,1,False,1.0,standard,True,longshot_warning
2026-01-20T14:27:52.940931,Michael Geerts,Soma Bay Challenger 2026,Grass,3.35,42.9,29.9,13.0,43.7,2,medium,3,False,2.0,confident,True,
2026-01-20T14:28:00.137315,Antonia Ruzic,Ladies Australian Open 2026,Hard,4.8,24.5,20.8,3.7,17.6,0,long,2,False,0.0,no_bet,True,longshot_warning
2026-01-20T14:28:00.159087,Varvara Panshina,ITF Manama,Hard,2.94,51.8,34.0,17.8,52.3,3,medium,3,False,3.0,strong,True,
2026-01-20T14:28:00.200801,Dalila Jakupovic,ITF Leszno,Hard,6.6,62.1,15.2,46.9,309.9,3,longshot,1,True,3.0,strong,True,edge_override_applied;longshot_warning
2026-01-20T14:28:00.221796,Susan Bandecchi,ITF Leszno,Hard,1.69,64.6,59.2,5.4,9.2,1,short,3,False,1.0,standard,True,
2026-01-20T14:28:00.243249,Arantxa Rus,ITF Manama,Hard,1.29,81.4,77.5,3.9,5.0,0,short,3,False,0.0,no_bet,True,
2026-01-20T14:28:00.265401,Nikola Bartunkova,Ladies Australian Open 2026,Hard,2.84,44.1,35.2,8.9,25.2,1,medium,3,False,1.0,standard,True,
2026-01-20T14:28:00.307447,Briana Szabo,ITF Manama,Hard,8.0,55.5,12.5,43.0,344.0,3,longshot,1,True,3.0,strong,True,edge_override_applied;longshot_warning
2026-01-20T14:28:00.328106,Carole Monnet,ITF Manama,Hard,1.76,65.3,56.8,8.5,14.9,1,short,3,False,1.0,standard,True,
2026-01-20T14:28:00.349099,Maria Kalyakina,ITF Manama,Hard,3.4,34.1,29.4,4.7,15.9,0,medium,3,False,0.0,no_bet,True,
2026-01-20T14:28:00.371177,Michael Bassem Sobhy,Soma Bay Challenger 2026,Grass,4.0,28.2,25.0,3.2,12.8,0,long,2,False,0.0,no_bet,True,
2026-01-20T14:28:00.413410,Joel Schwaerzler,Soma Bay Challenger 2026,Grass,2.36,66.0,42.4,23.6,55.8,3,medium,3,True,3.0,strong,True,edge_override_applied
2026-01-20T14:28:00.435486,Shintaro Mochizuki,Men's Australian Open 2026,Hard,7.6,26.4,13.2,13.2,100.6,2,longshot,1,False,1.0,confident,True,capped_from_2_to_1.0;longshot_warning
2026-01-20T14:28:00.456541,Anastasia Tikhonova,ITF Manama,Hard,3.35,33.9,29.9,4.0,13.6,0,medium,3,False,0.0,no_bet,True,
2026-01-20T14:28:00.477722,Wushuang Zheng,ITF Manama,Hard,5.4,45.0,18.5,26.5,143.0,3,longshot,1,True,3.0,strong,True,edge_override_applied;longshot_warning
2026-01-20T14:28:00.498506,Chloe Paquet,ITF Manama,Hard,2.48,46.6,40.3,6.3,15.6,1,medium,3,False,1.0,standard,True,
2026-01-20T14:28:00.560640,Laura Hietaranta,ITF Leszno,Hard,2.8,39.2,35.7,3.5,9.8,0,medium,3,False,0.0,no_bet,True,
2026-01-20T14:28:00.582209,August Holmgren,Oeiras Challenger 2026,Grass,3.0,52.1,33.3,18.8,56.3,3,medium,3,False,3.0,strong,True,
2026-01-20T14:28:00.604119,Jurij Rodionov,Oeiras Challenger 2026,Grass,1.67,73.0,59.9,13.1,21.9,2,short,3,False,2.0,confident,True,
2026-01-20T14:28:00.625593,Guy Den Ouden,Soma Bay Challenger 2026,Grass,2.0,64.6,50.0,14.6,29.2,2,short,3,False,2.0,confident,True,
2026-01-20T14:28:00.646825,Rodrigo Pacheco Mendez,Soma Bay Challenger 2026,Grass,1.48,71.7,67.6,4.1,6.1,0,short,3,False,0.0,no_bet,True,
2026-01-20T14:28:00.688642,Mona Barthel,ITF Leszno,Hard,1.63,66.0,61.3,4.7,7.6,0,short,3,False,0.0,no_bet,True,
2026-01-20T14:28:00.709932,Ekaterina Ovcharenko,ITF Manama,Hard,9.6,19.8,10.4,9.4,90.1,1,longshot,1,False,1.0,standard,True,longshot_warning
2026-01-20T14:28:00.730659,Camilla Rosatello,ITF Manama,Hard,2.3,46.7,43.5,3.2,7.4,0,medium,3,False,0.0,no_bet,True,
2026-01-20T14:28:00.753489,Daniel Merida,Oeiras Challenger 2026,Grass,3.0,48.2,33.3,14.9,44.6,2,medium,3,False,2.0,confident,True,
2026-01-20T14:28:00.774800,Petr Brunclik,Oeiras Challenger 2026,Grass,2.66,46.8,37.6,9.2,24.5,1,medium,3,False,1.0,standard,True,
2026-01-20T14:28:00.837881,Ergi Kirkin,Soma Bay Challenger 2026,Grass,2.36,66.0,42.4,23.6,55.8,3,medium,3,True,3.0,strong,True,edge_override_applied
